date,ticker,price
2024-01-01,AAPL,151.7851296189
2024-01-02,AAPL,151.4079545197229
2024-01-03,AAPL,151.54787136173744
2024-01-04,AAPL,152.45732046046496
2024-01-05,AAPL,150.97784258798887
2024-01-06,AAPL,150.82579337190631
2024-01-07,AAPL,149.88868584489526
2024-01-08,AAPL,149.83647118589948
2024-01-09,AAPL,149.20805204676674
2024-01-10,AAPL,149.68759983295547
2024-01-11,AAPL,147.58777171645298
2024-01-12,AAPL,148.5249021985465
2024-01-13,AAPL,149.5670497542763
2024-01-14,AAPL,148.54574520964002
2024-01-15,AAPL,147.3102606372841
2024-01-16,AAPL,146.49352040650638
2024-01-17,AAPL,145.9168617895155
2024-01-18,AAPL,145.54799960217755
2024-01-19,AAPL,145.72552159936856
2024-01-20,AAPL,143.70411358493493
